,大江大河2定档1220,人类一败涂地进不去,毛衣如何穿出时髦感,四川最硬气耙耳朵,狗子从鳄鱼嘴里逃脱被收编成警犬,有翡原音,金在中身材,名侦探学院,英国议员夺走女王权杖抗议,戚薇雾莲仙女裙,黄多多短发,微博之夜投票,黄子韬怒斥偷拍者,上万只乌鸦遮天蔽日侵袭加拿大,义乌市图书馆停用制热空调,安徽一批国产鸡腿外包装核酸阳性,BLACKPINK演唱会延期,一只小动物从嫦五返回器前跑过,巴西将使用中国新冠疫苗,追光吧哥哥不做成团出道,广东药科大学失联男生已离世,39岁全智贤状态,王自健前妻发文,劳斯莱斯回应拼多多122万元补贴,川航确诊飞行员在江油密接均为阴性,狗仔镜头下的关晓彤,小黑瓶开启圣诞季,幻书启世录书化人形,邓超对孙俪的字佩服得五体投地,一加七周年,汽车红人创造营,心愿2010vs2020,超级亲子节,星战中国话,微博之夜,百县千红新农人,杨幂的宝藏,重庆又一冻库牛肉外包装核酸呈阳性,李嘉欣,YSL夜皇后精华,欧豪两副面孔,教育视频星计划,皆大欢洗告别2020,Jinjiao加入SN,男子扯掉并脚踢国旗被依法行拘,国博首部解谜书,奇葩说前传之千人奇葩捞,用心只做一件事,美爆了的圣诞礼物,义乌限电晚上关闭所有路灯,松鼠的起床气有多大,还以为进了青青草原,周冬雨冷艳红唇大片,日本出售3D仿真人脸面具,王一博有翡老年妆,蔡琳高梓淇离婚,从嫦五返回器前跑过的是兔子,月球上的土有啥用,听起来像日文名的中文名,中国盲盒出口增速超400%,CPA,王祖蓝二胎得女,微信被上海消保委点名
10,0.0,0.0,205834.85714285713,329785.0,333570.5714285714,350707.71428571426,405024.14285714284,411344.28571428574,413743.5714285714,416084.0,417393.28571428574,405553.71428571426,419845.14285714284,419949.71428571426,429901.0,538087.5714285715,560826.4285714285,604743.2857142857,605563.5714285715,607721.4285714285,909316.4285714285,1082021.142857143,982927.5714285715,1373339.7142857143,1491795.0,3647611.0,0.0,0.0,633600.7142857143,0.0,0.0,198158.57142857142,158480.57142857142,419459.14285714284,153397.57142857142,198997.85714285713,397905.0,40716.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,0.0,0.0,205834.85714285713,328356.28571428574,331795.5714285714,347963.14285714284,402312.5714285714,407443.0,409990.85714285716,411742.28571428574,413031.5714285714,400642.85714285716,416218.14285714284,415935.14285714284,421918.71428571426,531214.5714285715,547632.7142857143,600202.7142857143,600678.7142857143,603030.0,896015.4285714285,1073618.7142857143,904818.2857142857,1376905.0,1476172.142857143,3660695.0,0.0,0.0,728915.1428571428,0.0,0.0,0.0,0.0,419459.14285714284,153397.57142857142,198997.85714285713,599698.0,82816.71428571429,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,0.0,0.0,164777.2857142857,326617.85714285716,329478.71428571426,345878.85714285716,398961.85714285716,402662.71428571426,404613.71428571426,406631.14285714284,408116.85714285716,397463.4285714286,412978.85714285716,412195.4285714286,414116.14285714284,523767.5714285714,535237.5714285715,596231.5714285715,596346.4285714285,598314.1428571428,881541.4285714285,1065896.857142857,827104.1428571428,1356187.857142857,1459112.857142857,3671347.285714286,0.0,0.0,823422.4285714285,0.0,0.0,0.0,0.0,204077.2857142857,317016.0,395139.14285714284,599698.0,82816.71428571429,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,0.0,0.0,164777.2857142857,325046.0,327293.4285714286,344262.0,396219.4285714286,397585.71428571426,399392.28571428574,401445.28571428574,402913.5714285714,394129.14285714284,410160.14285714284,408806.71428571426,406546.85714285716,517438.14285714284,523523.0,593141.7142857143,593243.7142857143,595680.8571428572,868153.4285714285,1060074.2857142857,757440.0,1456453.2857142857,1595074.0,3683076.1428571427,0.0,0.0,977217.0,318320.0,207662.85714285713,0.0,0.0,204077.2857142857,163618.42857142858,196141.2857142857,599698.0,82816.71428571429,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,0.0,0.0,123731.85714285714,323865.0,279527.14285714284,343005.4285714286,389944.71428571426,390081.28571428574,393465.0,396581.14285714284,397619.85714285716,390667.28571428574,408202.28571428574,406230.28571428574,399341.4285714286,511814.0,513596.28571428574,590620.5714285715,590887.2857142857,594166.1428571428,857494.1428571428,1055646.0,691222.2857142857,1543053.857142857,1672505.0,3697683.8571428573,0.0,0.0,1149805.0,318320.0,207662.85714285713,0.0,0.0,288660.4285714286,163618.42857142858,196141.2857142857,599698.0,129182.14285714286,48345.71428571428,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,0.0,0.0,82700.85714285714,322717.5714285714,232089.57142857142,341886.85714285716,387546.0,388387.85714285716,390650.28571428574,394056.85714285716,394945.0,389325.0,406837.5714285714,403770.28571428574,392907.71428571426,506413.14285714284,504822.71428571426,588947.0,588507.8571428572,591465.2857142857,848585.5714285715,1051927.857142857,629813.1428571428,1626556.857142857,1819275.4285714286,3711414.285714286,0.0,0.0,1335180.2857142857,318320.0,207662.85714285713,0.0,0.0,288660.4285714286,163618.42857142858,196141.2857142857,716732.7142857143,174797.85714285713,102785.42857142857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,0.0,0.0,41276.142857142855,275978.85714285716,184558.57142857142,340849.0,383420.85714285716,384374.85714285716,385980.28571428574,390112.5714285714,390875.71428571426,385996.28571428574,406043.14285714284,401371.71428571426,387224.0,501597.71428571426,496929.5714285714,588174.1428571428,588333.8571428572,591692.1428571428,842738.1428571428,1048857.142857143,567447.5714285715,1723790.142857143,1985008.857142857,3725655.285714286,0.0,0.0,1538817.5714285714,318320.0,207662.85714285713,0.0,0.0,288660.4285714286,163618.42857142858,196141.2857142857,521140.5714285714,229581.57142857142,156121.14285714287,296987.0,207586.57142857142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,0.0,0.0,0.0,229635.57142857142,137909.2857142857,339704.5714285714,379267.4285714286,382521.14285714284,382337.5714285714,388360.5714285714,389154.0,386157.4285714286,405045.0,399935.71428571426,380520.85714285716,497130.4285714286,489846.0,588254.4285714285,587978.0,591141.7142857143,839736.0,1046144.7142857143,562653.8571428572,1805398.5714285714,2104316.8571428573,3736548.8571428573,0.0,0.0,1688094.7142857143,627430.5714285715,438279.85714285716,0.0,0.0,288660.4285714286,163618.42857142858,196141.2857142857,521140.5714285714,240628.57142857142,203901.57142857142,296987.0,207586.57142857142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,0.0,0.0,0.0,229975.2857142857,91605.0,338883.28571428574,376681.85714285716,380337.14285714284,379803.0,385528.4285714286,386180.4285714286,384486.4285714286,404390.28571428574,400168.14285714284,375018.5714285714,494027.85714285716,483395.14285714284,588883.8571428572,588600.4285714285,591077.7142857143,839210.8571428572,1043308.4285714285,561454.1428571428,1885738.142857143,2214599.285714286,3744591.1428571427,0.0,0.0,1837049.2857142857,627430.5714285715,438279.85714285716,0.0,0.0,288660.4285714286,163618.42857142858,196141.2857142857,319347.5714285714,249517.57142857142,203901.57142857142,296987.0,207586.57142857142,243520.14285714287,312813.28571428574,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,0.0,0.0,0.0,230394.14285714287,45578.42857142857,337471.71428571426,374076.71428571426,378012.0,377007.71428571426,383111.4285714286,383734.0,383074.4285714286,403114.14285714284,400009.14285714284,368729.28571428574,491912.28571428574,477325.14285714284,588807.1428571428,587223.4285714285,589456.1428571428,840410.5714285715,1038740.5714285715,559066.0,1971884.0,2365968.0,3745422.285714286,0.0,0.0,1977795.4285714286,627430.5714285715,438279.85714285716,0.0,0.0,288660.4285714286,0.0,0.0,654575.0,301475.4285714286,203901.57142857142,296987.0,207586.57142857142,243520.14285714287,312813.28571428574,46530.57142857143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,0.0,0.0,0.0,231787.2857142857,0.0,336480.0,372534.4285714286,376720.85714285716,374698.4285714286,381729.28571428574,382428.28571428574,381984.85714285716,402641.71428571426,400395.4285714286,362605.28571428574,491350.85714285716,472170.28571428574,588482.5714285715,585915.1428571428,586943.7142857143,844409.7142857143,1034717.7142857143,559404.7142857143,1963845.2857142857,2392921.4285714286,3749603.4285714286,254840.0,345137.5714285714,2059919.0,309110.5714285714,230617.0,0.0,0.0,288660.4285714286,0.0,0.0,654575.0,354869.85714285716,203901.57142857142,296987.0,207586.57142857142,243520.14285714287,312813.28571428574,46530.57142857143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,0.0,0.0,0.0,233009.85714285713,0.0,334391.5714285714,373499.4285714286,379114.4285714286,373727.14285714284,382330.71428571426,382984.71428571426,381889.5714285714,401387.5714285714,400735.71428571426,356027.0,490610.28571428574,465833.5714285714,587821.5714285715,583765.7142857143,583372.7142857143,848026.8571428572,1028984.2857142857,555249.2857142857,1961334.0,2483298.1428571427,3745032.1428571427,254840.0,345137.5714285714,2129403.8571428573,309110.5714285714,230617.0,0.0,0.0,0.0,0.0,0.0,1011540.8571428572,363597.4285714286,155555.85714285713,296987.0,207586.57142857142,243520.14285714287,312813.28571428574,92262.71428571429,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,0.0,0.0,0.0,234902.7142857143,0.0,332046.28571428574,372017.0,378604.4285714286,369662.28571428574,381977.14285714284,382986.85714285716,380968.28571428574,400541.71428571426,402115.0,349075.5714285714,490680.85714285716,459815.0,587993.0,583352.4285714285,581976.8571428572,853682.1428571428,1023769.0,552263.2857142857,1975894.2857142857,2550144.4285714286,3743464.0,254840.0,345137.5714285714,2193347.285714286,309110.5714285714,230617.0,339729.14285714284,187733.2857142857,0.0,0.0,0.0,692193.2857142857,374989.4285714286,101116.14285714286,296987.0,207586.57142857142,243520.14285714287,312813.28571428574,92262.71428571429,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,0.0,0.0,0.0,282511.0,0.0,329446.4285714286,371466.0,380494.85714285716,366280.0,383349.14285714284,384300.28571428574,382691.28571428574,398685.5714285714,403457.0,295832.4285714286,489706.85714285716,453462.85714285716,587952.4285714285,580814.7142857143,578215.4285714285,857312.7142857143,1016595.2857142857,550353.2857142857,1993401.5714285714,2526758.714285714,3734912.714285714,518514.71428571426,686669.8571428572,2242268.285714286,309110.5714285714,230617.0,339729.14285714284,187733.2857142857,0.0,0.0,0.0,692193.2857142857,379117.5714285714,47780.42857142857,0.0,0.0,243520.14285714287,312813.28571428574,92262.71428571429,46603.142857142855,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,0.0,0.0,0.0,330087.14285714284,0.0,327102.28571428574,373876.28571428574,380702.4285714286,361146.0,383221.0,384013.4285714286,382537.4285714286,396827.14285714284,405306.71428571426,244472.57142857142,487786.14285714284,447477.0,589358.2857142857,578469.8571428572,574486.0,860118.5714285715,1010268.7142857143,551570.0,2016110.142857143,2541185.285714286,3727057.5714285714,518514.71428571426,686669.8571428572,2272991.714285714,0.0,0.0,339729.14285714284,187733.2857142857,0.0,0.0,0.0,1025787.0,388505.4285714286,0.0,0.0,0.0,243520.14285714287,312813.28571428574,137738.85714285713,94506.57142857143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,0.0,0.0,0.0,330899.14285714284,0.0,279277.5714285714,375887.71428571426,382169.4285714286,354839.4285714286,384895.71428571426,385785.4285714286,384587.28571428574,394003.28571428574,406210.14285714284,192941.42857142858,483175.5714285714,441613.85714285716,589720.5714285715,574638.8571428572,569933.2857142857,860314.7142857143,1003841.7142857143,545601.5714285715,2036303.4285714286,2585255.8571428573,3715615.0,518514.71428571426,686669.8571428572,2285297.1428571427,0.0,0.0,339729.14285714284,187733.2857142857,0.0,0.0,0.0,1025787.0,397782.28571428574,0.0,0.0,0.0,0.0,0.0,183063.0,144156.7142857143,342693.5714285714,261048.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,0.0,0.0,0.0,331275.28571428574,0.0,231964.7142857143,376970.0,383404.71428571426,347996.5714285714,386341.28571428574,387728.28571428574,386477.14285714284,390926.71428571426,407008.14285714284,143013.57142857142,472483.28571428574,436138.71428571426,590269.5714285715,571750.5714285715,566365.4285714285,858891.7142857143,998528.1428571428,546354.8571428572,2058278.2857142857,2614063.4285714286,3705611.5714285714,518514.71428571426,686669.8571428572,2288975.4285714286,0.0,0.0,339729.14285714284,187733.2857142857,0.0,0.0,0.0,690559.5714285715,413799.28571428574,0.0,0.0,0.0,0.0,0.0,182117.7142857143,194662.0,342693.5714285714,261048.0,262918.0,350948.71428571426,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,0.0,0.0,0.0,331227.5714285714,0.0,184530.0,377737.4285714286,384580.4285714286,340758.5714285714,387981.28571428574,389738.0,388694.28571428574,386931.4285714286,407394.28571428574,94146.85714285714,460601.85714285716,431224.28571428574,591575.0,568917.7142857143,562499.2857142857,855423.1428571428,993989.8571428572,541425.0,2079311.5714285714,2611952.714285714,3693945.0,263674.71428571426,341532.28571428574,2287391.5714285714,0.0,0.0,339729.14285714284,187733.2857142857,0.0,0.0,0.0,690559.5714285715,431803.28571428574,0.0,0.0,0.0,0.0,0.0,229042.0,247075.14285714287,696553.5714285715,524965.5714285715,262918.0,350948.71428571426,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,0.0,0.0,0.0,330731.28571428574,0.0,137990.42857142858,379040.71428571426,385828.71428571426,288976.14285714284,387872.5714285714,390146.0,390474.28571428574,382564.85714285716,407414.14285714284,46456.42857142857,449079.85714285716,426801.85714285716,593260.5714285715,564999.1428571428,558467.7142857143,850650.8571428572,990557.7142857143,539579.7142857143,2101282.4285714286,2577922.5714285714,3683583.1428571427,263674.71428571426,341532.28571428574,2281634.4285714286,0.0,0.0,339729.14285714284,187733.2857142857,0.0,0.0,0.0,333593.71428571426,450377.71428571426,0.0,325680.28571428574,215563.2857142857,0.0,0.0,231102.0,300684.71428571426,696553.5714285715,524965.5714285715,262918.0,350948.71428571426,47381.57142857143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29,0.0,0.0,0.0,329389.5714285714,0.0,91794.42857142857,379129.14285714284,385853.28571428574,237811.14285714287,387729.28571428574,389843.5714285714,391465.0,377514.4285714286,406875.4285714286,0.0,437531.0,422755.28571428574,594503.8571428572,561696.0,553630.5714285715,844275.5714285715,988154.4285714285,536447.4285714285,2121377.4285714286,2519634.714285714,3672619.8571428573,263674.71428571426,341532.28571428574,2270757.1428571427,342176.71428571426,249860.14285714287,0.0,0.0,0.0,0.0,0.0,333593.71428571426,469702.28571428574,0.0,325680.28571428574,215563.2857142857,0.0,0.0,280321.28571428574,355857.28571428574,696553.5714285715,524965.5714285715,262918.0,350948.71428571426,98540.57142857143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,0.0,0.0,0.0,327663.71428571426,0.0,45757.142857142855,379884.85714285716,386243.4285714286,187741.85714285713,388199.5714285714,390358.4285714286,390911.14285714284,371764.71428571426,404995.0,0.0,426119.4285714286,419277.4285714286,593566.2857142857,557199.7142857143,548493.8571428572,837437.1428571428,984530.5714285715,531095.8571428572,2137612.0,2503957.0,3658728.0,0.0,0.0,2256792.1428571427,342176.71428571426,249860.14285714287,322241.85714285716,190843.2857142857,0.0,0.0,0.0,333593.71428571426,476622.85714285716,0.0,325680.28571428574,215563.2857142857,0.0,0.0,330205.85714285716,365907.0,696553.5714285715,524965.5714285715,262918.0,350948.71428571426,154178.57142857142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,0.0,0.0,0.0,326006.28571428574,0.0,42407.857142857145,378102.5714285714,386458.71428571426,138850.7142857143,388824.14285714284,390960.14285714284,389445.0,365611.5714285714,402538.0,0.0,415214.28571428574,415443.5714285714,593014.8571428572,552119.2857142857,542928.0,829978.0,981204.4285714285,523961.0,2152372.0,2537092.4285714286,3647721.1428571427,0.0,0.0,2251649.0,342176.71428571426,249860.14285714287,322241.85714285716,190843.2857142857,333667.28571428574,0.0,0.0,0.0,482617.28571428574,0.0,325680.28571428574,215563.2857142857,0.0,0.0,335198.28571428574,376216.85714285716,696553.5714285715,524965.5714285715,262918.0,350948.71428571426,213183.42857142858,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32,0.0,0.0,0.0,324698.0,0.0,84526.28571428571,376772.0,386770.85714285716,132133.7142857143,388957.71428571426,390982.28571428574,387504.5714285714,359241.14285714284,399654.4285714286,0.0,405496.0,412788.85714285716,591823.5714285715,546951.5714285715,538168.8571428572,823579.4285714285,978439.5714285715,524398.1428571428,2167005.714285714,2539585.4285714286,3637463.714285714,0.0,0.0,2253701.714285714,342176.71428571426,249860.14285714287,322241.85714285716,190843.2857142857,333667.28571428574,0.0,0.0,0.0,491362.71428571426,0.0,325680.28571428574,215563.2857142857,0.0,0.0,340506.0,386476.4285714286,353860.0,263917.5714285714,262918.0,350948.71428571426,273848.85714285716,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33,0.0,0.0,0.0,324191.85714285716,0.0,126489.71428571429,376844.0,386820.71428571426,126287.57142857143,388525.4285714286,390126.28571428574,385251.14285714284,352901.0,396560.4285714286,0.0,400464.4285714286,410640.0,590275.4285714285,542966.8571428572,534734.5714285715,818880.4285714285,977029.2857142857,516303.14285714284,2183899.714285714,2534110.5714285714,3632285.285714286,0.0,0.0,2260516.4285714286,342176.71428571426,249860.14285714287,322241.85714285716,190843.2857142857,333667.28571428574,0.0,0.0,0.0,491863.5714285714,0.0,325680.28571428574,215563.2857142857,0.0,0.0,346162.28571428574,398263.28571428574,353860.0,263917.5714285714,0.0,0.0,336176.14285714284,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34,0.0,0.0,0.0,323640.14285714284,0.0,126489.71428571429,376354.14285714284,385793.4285714286,80979.57142857143,387121.0,388404.85714285716,382385.71428571426,346207.28571428574,392923.0,0.0,394853.5714285714,407916.4285714286,589087.0,538322.2857142857,531012.7142857143,814309.8571428572,974415.0,512818.71428571426,2199156.0,2565321.0,3624324.714285714,0.0,0.0,2267530.285714286,342176.71428571426,249860.14285714287,322241.85714285716,190843.2857142857,333667.28571428574,0.0,0.0,0.0,494233.71428571426,0.0,325680.28571428574,215563.2857142857,269230.85714285716,398219.14285714284,350939.71428571426,410205.71428571426,0.0,0.0,0.0,0.0,400349.85714285716,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35,0.0,0.0,0.0,323858.4285714286,0.0,126489.71428571429,375959.28571428574,386389.14285714284,80979.57142857143,387272.71428571426,388084.28571428574,379432.14285714284,293614.85714285716,390453.28571428574,0.0,388034.0,405536.71428571426,588017.8571428572,539749.2857142857,528382.0,811186.8571428572,972668.5714285715,510761.4285714286,2217518.714285714,2582137.5714285714,3618348.714285714,0.0,0.0,2279142.4285714286,342176.71428571426,249860.14285714287,322241.85714285716,190843.2857142857,333667.28571428574,245270.0,343482.71428571426,0.0,494259.4285714286,0.0,0.0,0.0,269230.85714285716,398219.14285714284,355798.5714285714,423031.4285714286,0.0,0.0,0.0,0.0,419364.71428571426,46613.28571428572,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36,0.0,0.0,0.0,324740.0,0.0,126489.71428571429,374643.0,383901.14285714284,126682.42857142857,384775.4285714286,385460.85714285716,376220.4285714286,242026.2857142857,385868.85714285716,0.0,380533.4285714286,402942.0,586305.8571428572,536718.8571428572,527125.2857142857,808689.7142857143,970206.0,507486.85714285716,2231503.714285714,2623562.8571428573,3612125.4285714286,0.0,0.0,2292874.4285714286,0.0,0.0,322241.85714285716,190843.2857142857,333667.28571428574,245270.0,343482.71428571426,0.0,490701.71428571426,0.0,0.0,0.0,269230.85714285716,398219.14285714284,359141.14285714284,436224.0,0.0,0.0,0.0,0.0,436072.5714285714,95005.28571428571,47456.71428571428,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
